title,category,subcategory,level,description,instructor,rating,students,duration,is_paid,url,tags
"Python Programming: From Beginner to Advanced","Programming","Python","Beginner to Advanced","Comprehensive Python course covering basics to advanced topics including OOP, web development, data science, and GUI applications. Learn through hands-on projects.","John Smith",4.8,25000,"45 hours",1,"https://example.com/python-complete","python programming coding software-development oop web-development data-science"
"Web Development Bootcamp 2025","Web Development","Full Stack","Intermediate","Master full-stack web development with HTML, CSS, JavaScript, React, Node.js, and MongoDB. Build responsive and dynamic web applications.","Jane Doe",4.9,18000,"60 hours",1,"https://example.com/web-dev-bootcamp","web-development javascript react nodejs mongodb html css"
"Data Science and Machine Learning Masterclass","Data Science","Machine Learning","Advanced","Learn data analysis, visualization, and machine learning using Python, pandas, scikit-learn, and TensorFlow. Includes real-world projects.","Mike Johnson",4.7,15000,"50 hours",1,"https://example.com/data-science","data-science machine-learning python tensorflow sklearn"
"UI/UX Design Essentials","Design","UI/UX","Beginner","Master user interface and user experience design principles. Learn Figma, design thinking, and create beautiful interfaces.","Sarah Wilson",4.8,12000,"30 hours",1,"https://example.com/uiux-design","ui-design ux-design figma design-thinking"
"DevOps Engineering with AWS","DevOps","Cloud","Advanced","Learn DevOps practices, CI/CD pipelines, Docker, Kubernetes, and AWS cloud services. Automate deployment workflows.","David Clark",4.9,8000,"40 hours",1,"https://example.com/devops-aws","devops aws docker kubernetes ci-cd cloud"
"JavaScript Modern ES6+ Complete Guide","Programming","JavaScript","Intermediate","Master modern JavaScript features, async programming, and build real applications. Includes ES6+ features and best practices.","Emily Brown",4.7,20000,"35 hours",1,"https://example.com/javascript-modern","javascript es6 web-development programming"
"Mobile App Development with Flutter","Programming","Mobile","Intermediate","Build beautiful cross-platform mobile apps using Flutter and Dart. Create iOS and Android apps from a single codebase.","Alex Turner",4.8,14000,"48 hours",1,"https://example.com/flutter-dev","flutter mobile-development dart ios android"
"Artificial Intelligence Fundamentals","Data Science","AI","Advanced","Learn AI concepts, neural networks, deep learning, and natural language processing. Build intelligent systems.","Maria Garcia",4.9,10000,"55 hours",1,"https://example.com/ai-course","artificial-intelligence deep-learning neural-networks nlp"
"Digital Marketing Mastery","Marketing","Digital","Beginner","Master digital marketing strategies, SEO, social media marketing, and content marketing. Grow your online presence.","Tom Wilson",4.6,22000,"25 hours",1,"https://example.com/digital-marketing","marketing seo social-media content-marketing"
"Cybersecurity Fundamentals","Security","Network","Intermediate","Learn network security, ethical hacking, penetration testing, and security best practices. Protect against cyber threats.","Lisa Chen",4.8,9000,"40 hours",1,"https://example.com/cybersecurity","security ethical-hacking network-security penetration-testing"
